球队,中文名,英文名,号码,位置,身高,体重,球龄,img_url
骑士,德安德烈-亨特,De'Andre Hunter,12,前锋/后卫,203,100,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/骑士_德安德烈-亨特.png
骑士,埃文-莫布利,Evan Mobley,4,中锋,211,98,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/骑士_埃文-莫布利.png
骑士,达柳斯-加兰,Darius Garland,10,后卫,185,87,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/骑士_达柳斯-加兰.png
骑士,贾文特-格林,Javonte Green,8,后卫,196,93,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/骑士_贾文特-格林.png
骑士,特里斯坦-汤普森,Tristan Thompson,13,中锋/前锋,206,115,13,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/骑士_特里斯坦-汤普森.png
骑士,迪恩-韦德,Dean Wade,32,前锋/中锋,206,103,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/骑士_迪恩-韦德.png
骑士,杰伦-泰森,Jaylon Tyson,24,后卫/前锋,198,98,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/骑士_杰伦-泰森.png
骑士,艾萨克·奥科罗,Isaac Okoro,35,前锋/后卫,196,102,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/骑士_艾萨克·奥科罗.png
骑士,马克斯-斯特鲁斯,Max Strus,1,后卫/前锋,196,98,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/骑士_马克斯-斯特鲁斯.png
骑士,克雷格-波特,Craig Porter Jr.,9,后卫,185,82,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/骑士_克雷格-波特.png
骑士,贾勒特-艾伦,Jarrett Allen,31,中锋,206,110,7,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/骑士_贾勒特-艾伦.png
骑士,泰·杰洛姆,Ty Jerome,2,后卫/前锋,196,88,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/骑士_泰·杰洛姆.png
骑士,多诺万-米切尔,Donovan Mitchell,45,后卫,191,98,7,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/骑士_多诺万-米切尔.png
骑士,伊莫尼-贝茨,Emoni Bates,21,前锋,203,92,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/骑士_伊莫尼-贝茨.png
骑士,内匡-汤姆林,Nae'Qwan Tomlin,30,前锋,208,95,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/骑士_内匡-汤姆林.png
骑士,萨姆·梅里尔,Sam Merrill,5,后卫,193,93,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/骑士_萨姆·梅里尔.png
凯尔特人,乔丹-沃尔什,Jordan Walsh,27,后卫,198,93,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/凯尔特人_乔丹-沃尔什.png
凯尔特人,朱-霍勒迪,Jrue Holiday,4,后卫,193,93,15,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/凯尔特人_朱-霍勒迪.png
